time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/episodes,time/total_timesteps,time/fps,train/n_updates,train/actor_loss,train/learning_rate,train/critic_loss
1848,-7065.519936730001,781.0,110,85910,46,85129,-72098.17402568822,0.001,7155141.553557138
1869,-7107.76296757,781.0,111,86691,46,85910,-72814.1455765845,0.001,5324696.590168854
1889,-7099.798955050001,781.0,112,87472,46,86691,-73550.13497319142,0.001,6622266.337758083
1910,-7115.46172714,781.0,113,88253,46,87472,-74388.66033130602,0.001,6349587.597871318
1931,-7115.92026446,781.0,114,89034,46,88253,-75114.93089788733,0.001,7177914.338388285
1952,-7153.11517822,781.0,115,89815,46,89034,-76556.72481193981,0.001,6993049.194272167
1972,-7094.6199968500005,781.0,116,90596,45,89815,-77209.19690300897,0.001,8173431.2848811615
1992,-7096.62572691,781.0,117,91377,45,90596,-77812.8056478073,0.001,7125985.082886524
2012,-7084.95618969,781.0,118,92158,45,91377,-78045.88928457107,0.001,9407471.609805137
2033,-7120.968948590001,781.0,119,92939,45,92158,-78613.04915572984,0.001,6720442.681037932
2054,-7106.23272128,781.0,120,93720,45,92939,-79190.20149447823,0.001,8277833.326014325
2075,-7088.7289253300005,781.0,121,94501,45,93720,-79671.76377440781,0.001,7601148.155719831
2095,-7050.702919690001,781.0,122,95282,45,94501,-80129.76058338668,0.001,8461084.267775688
2115,-7072.519569450001,781.0,123,96063,45,95282,-80458.70437540014,0.001,7650965.423825624
2135,-7093.1933773400015,781.0,124,96844,45,96063,-81115.6943021767,0.001,7991808.234675096
2155,-7095.8488026800005,781.0,125,97625,45,96844,-81595.47130081627,0.001,7683328.341659331
2175,-7086.245901680001,781.0,126,98406,45,97625,-82053.43416893407,0.001,9884895.857204305
2195,-7052.549681799999,781.0,127,99187,45,98406,-82521.76243397887,0.001,8740262.703735195
2214,-7099.602072419999,781.0,128,99968,45,99187,-82866.88803417093,0.001,10395012.079805538
2234,-7117.196885409999,781.0,129,100749,45,99968,-83509.9365997119,0.001,7981805.421054738
2253,-7135.48581612,781.0,130,101530,45,100749,-84264.02970950704,0.001,9433879.353703186
2273,-7123.9099086999995,781.0,131,102311,45,101530,-84661.3692181498,0.001,9559537.819762323
2293,-7085.96398074,781.0,132,103092,44,102311,-85299.41361235596,0.001,8781520.103753202
2315,-7099.322573300001,781.0,133,103873,44,103092,-85929.38313260244,0.001,10845531.847131083
2334,-7130.75321708,781.0,134,104654,44,103873,-86905.52501800576,0.001,8725513.99146727
2354,-7158.516117439999,781.0,135,105435,44,104654,-87423.9129621479,0.001,11018321.068852033
2374,-7138.92491783,781.0,136,106216,44,105435,-88009.00896286812,0.001,10999953.002980953
2393,-7129.565768729999,781.0,137,106997,44,106216,-88825.70349511843,0.001,10183281.064850751
2412,-7134.911076049999,781.0,138,107778,44,106997,-89371.851462468,0.001,8547940.701944623
2432,-7112.970228569999,781.0,139,108559,44,107778,-90087.22899327785,0.001,8600103.681127962
2451,-7099.794857569999,781.0,140,109340,44,108559,-90892.98230433739,0.001,8914535.98159411
2471,-7145.421858819999,781.0,141,110121,44,109340,-91433.7314540653,0.001,12530396.169914372
2492,-7141.1425598999995,781.0,142,110902,44,110121,-92080.35816461267,0.001,9968952.620368518
2512,-7176.731118309998,781.0,143,111683,44,110902,-92693.03254041293,0.001,9984378.972761283
2531,-7209.846324529999,781.0,144,112464,44,111683,-93026.29066301216,0.001,13363483.005141646
2551,-7207.0695038899985,781.0,145,113245,44,112464,-93548.89692701664,0.001,10637616.104513444
2570,-7146.14534782,781.0,146,114026,44,113245,-94074.51798575545,0.001,8941102.709116917
2589,-7175.949916410001,781.0,147,114807,44,114026,-94446.4365296895,0.001,12343910.431418054
2609,-7202.82684814,781.0,148,115588,44,114807,-94947.46271806979,0.001,11514594.316261204
2628,-7220.659598369999,781.0,149,116369,44,115588,-95486.0390224872,0.001,11715464.02140685
2648,-7210.852448969999,781.0,150,117150,44,116369,-95740.134753121,0.001,13070479.387744078
2668,-7243.696002919999,781.0,151,117931,44,117150,-96090.18810019206,0.001,11845602.326164372
2687,-7279.902134449999,781.0,152,118712,44,117931,-96496.28718189821,0.001,10855626.970410531
2707,-7320.08808713,781.0,153,119493,44,118712,-96740.45892685659,0.001,9670220.493697984
2727,-7282.629307789999,781.0,154,120274,44,119493,-96965.10975512164,0.001,14264606.980333706
2747,-7289.776102909998,781.0,155,121055,44,120274,-97233.78856233995,0.001,9082429.973891646
2766,-7266.738127489998,781.0,156,121836,44,121055,-97357.3271346831,0.001,13470513.071963029
2786,-7265.733297439999,781.0,157,122617,44,121836,-97644.01056338029,0.001,10906326.544034092
2805,-7226.1830525099995,781.0,158,123398,43,122617,-98138.90454945582,0.001,12369357.870538572
2826,-7276.741541299999,781.0,159,124179,43,123398,-98709.52511803777,0.001,13442268.013584347
2846,-7292.085346639999,781.0,160,124960,43,124179,-98940.25044014085,0.001,13090921.075484155
2866,-7304.4154727800005,781.0,161,125741,43,124960,-99333.82760483355,0.001,11828380.820422536
2885,-7279.74544983,781.0,162,126522,43,125741,-99458.08967869719,0.001,14261425.304617478
2906,-7265.091605379999,781.0,163,127303,43,126522,-99716.28763204225,0.001,10633472.088388285
2926,-7270.563530969999,781.0,164,128084,43,127303,-100200.09776128361,0.001,11687574.10009203
2946,-7302.694247399999,781.0,165,128865,43,128084,-100480.74866957427,0.001,12915280.544074103
2966,-7263.21960622,781.0,166,129646,43,128865,-100753.4052396767,0.001,12599408.57418374
2986,-7296.52553286,781.0,167,130427,43,129646,-100564.31263004162,0.001,12754092.701364437
3005,-7291.286901869999,781.0,168,131208,43,130427,-100695.94996398847,0.001,13356525.58852833
3026,-7234.130971460001,781.0,169,131989,43,131208,-101012.74157730474,0.001,12275647.05465749
3045,-7204.726038770001,781.0,170,132770,43,131989,-101105.2109675096,0.001,12156707.018085787
3066,-7160.378386970001,781.0,171,133551,43,132770,-101035.15020806658,0.001,15057271.362616038
3085,-7189.294592,781.0,172,134332,43,133551,-100985.93513924455,0.001,11698615.882042253
3104,-7196.28855359,781.0,173,135113,43,134332,-100964.09107914532,0.001,16715950.29037292
3123,-7151.875402260002,781.0,174,135894,43,135113,-101039.54713508322,0.001,12783912.130741837
3142,-7228.373160590001,781.0,175,136675,43,135894,-101001.42750680218,0.001,13600032.02146687
3162,-7276.504443800001,781.0,176,137456,43,136675,-100932.37347951345,0.001,12232565.516405249
3182,-7261.03306099,781.0,177,138237,43,137456,-101060.07017245519,0.001,13681016.152168695
